21.72	21.05	19.74	18.71	17.38	15.83	14.55	13.66	13.0	12.46	11.27	10.36	9.9	8.89	8.08	7.55	6.78	6.35	6.09	5.76	5.01	4.23	3.94	3.47	3.14	2.41	1.58	0.32	
19.93	19.4	17.82	16.56	15.22	13.55	12.37	11.36	10.47	9.9	8.59	7.98	7.62	6.94	6.38	6.03	5.4	5.07	4.89	4.6	3.9	3.1	2.77	2.21	1.88	1.22	0.47	0.39	
18.19	17.6	16.21	14.99	13.67	11.99	10.77	9.76	9.0	8.5	7.45	7.03	6.77	6.23	5.77	5.5	4.92	4.65	4.52	4.29	3.68	2.96	2.68	2.23	1.95	1.39	0.72	0.04	
15.38	14.83	13.94	12.98	11.76	10.48	9.44	8.73	8.12	7.83	6.9	6.59	6.4	5.94	5.55	5.32	4.79	4.54	4.44	4.26	3.69	3.04	2.79	2.4	2.15	1.65	1.04	0.34	
13.69	13.21	12.68	11.88	10.71	9.64	8.74	8.15	7.64	7.46	6.58	6.35	6.2	5.8	5.45	5.25	4.74	4.51	4.44	4.28	3.74	3.13	2.9	2.55	2.32	1.87	1.28	0.62	
11.49	11.19	10.76	10.15	9.08	8.1	7.31	6.73	6.33	6.04	5.46	5.2	5.08	4.8	4.49	4.31	3.86	3.64	3.53	3.31	2.85	2.32	2.1	1.75	1.53	1.12	0.54	0.01	
10.73	10.46	10.08	9.5	8.47	7.49	6.68	6.09	5.68	5.37	4.85	4.64	4.56	4.35	4.1	3.95	3.56	3.38	3.27	3.08	2.67	2.2	2.01	1.71	1.52	1.15	0.58	0.1	
10.26	10.03	9.69	9.16	8.16	7.22	6.44	5.86	5.47	5.18	4.7	4.51	4.43	4.24	4.0	3.86	3.48	3.3	3.2	3.01	2.61	2.14	1.96	1.66	1.48	1.12	0.56	0.11	
13.43	13.13	12.7	12.06	11.01	9.92	9.09	8.44	7.97	7.6	6.89	6.68	6.55	6.08	5.69	5.3	4.89	4.6	4.47	4.24	3.61	2.89	2.61	2.08	1.75	1.1	0.3	1.0	
2400.0	2600.0	2720.0	2840.0	3010.0	3180.0	3350.0	3510.0	3680.0	3850.0	4060.0	4350.0	4590.0	4900.0	5250.0	5570.0	5770.0	5860.0	6030.0	6200.0	6440.0	6890.0	7200.0	7580.0	8200.0	8970.0	9520.0	11900.0	
0.088	0.102	0.11	0.12	0.15	0.2	0.29	0.42	0.54	0.59	0.63	0.7	0.75	0.82	0.9	0.98	1.04	1.06	1.11	1.17	1.25	1.5	1.6	1.8	2.0	2.4	2.9	3.8	
