21.72	21.05	19.74	18.71	17.38	15.83	14.55	13.66	13.0	12.46	
19.93	19.4	17.82	16.56	15.22	13.55	12.37	11.36	10.47	9.9	
18.19	17.6	16.21	14.99	13.67	11.99	10.77	9.76	9.0	8.5	
15.38	14.83	13.94	12.98	11.76	10.48	9.44	8.73	8.12	7.83	
13.69	13.21	12.68	11.88	10.71	9.64	8.74	8.15	7.64	7.46	
11.49	11.19	10.76	10.15	9.08	8.1	7.31	6.73	6.33	6.04	
10.73	10.46	10.08	9.5	8.47	7.49	6.68	6.09	5.68	5.37	
10.26	10.03	9.69	9.16	8.16	7.22	6.44	5.86	5.47	5.18	
13.43	13.13	12.7	12.06	11.01	9.92	9.09	8.44	7.97	7.6	
2400.0	2600.0	2720.0	2840.0	3010.0	3180.0	3350.0	3510.0	3680.0	3850.0	
0.118	0.12	0.149	0.196	0.255	0.319	0.38	0.431	0.464	0.472	
